Dataset,Link to CT scan data,Link to humerus,Link to femur,Class,Higher Clade,Family,Species,Common Name,SP#,Body Mass (g),Body_mass_literature (g),Humerus Length,Humerus Circumference,Femur Length,Femur Circumference,Dentary Length (mm),Bi_Quad,tree_names
Campione and Evans 2012,,,,Mammalia,Glires,Sciuridae,Spermophilus adocetus,Lesser tropical ground squirrel,ROM R810,345,125,30.3,8.9,37.1,10.05,,Q,Spermophilus pygmaeus
Campione and Evans 2012,,,,Mammalia,Glires,Sciuridae,Spermophilus franklinii,Franklin's ground squirrel,ROM 43326,475,363,34,11.9,43.9,12,,Q,Spermophilus pygmaeus
Campione and Evans 2012,,,,Mammalia,Glires,Sciuridae,Spermophilus lateralis,Golden-mantel squirrel,ROM R7280,159,191,26,7.3,35.2,8.7,,Q,Spermophilus pygmaeus
Campione and Evans 2012,,,,Mammalia,Glires,Sciuridae,Spermophilus richardsonii,Richardson's ground squirrel,ROM 91974,345,406,31.95,10.1,38.75,10.9,,Q,Spermophilus pygmaeus
Campione and Evans 2012,,,,Mammalia,Glires,Sciuridae,Spermophilus tridecemlineatus,Thirteen-lined ground squirrel,ROM 102662,195,132,26.65,9.7,34.1,8.8,,Q,Spermophilus pygmaeus
Campione and Evans 2012,,,,Mammalia,Carnivora,Herpestidae,Suricata suricata,Meerkat,ROM 74547,717,726,50.74,13.2,55.83,13.65,,Q,Suricata suricatta
Campione and Evans 2012,,,,Mammalia,Ungulata,Bovidae,Sylvicapra grimmia,Duiker,AHR1985,13860,19500,,31,,46,,Q,Sylvicapra grimmia
Campione and Evans 2012,,,,Mammalia,Glires,Leporidae,Sylvilagus floridanus,Eastern cottontail,ROM R2974,1057,1173,61.9,14.85,82.4,18.35,,Q,Sylvilagus floridanus
Campione and Evans 2012,,,,Mammalia,Xenarthra,Myrmecophagidae,Tamandua tetradactyla,Southern Tamandua,ROM 113857,5470,5515,90.7,34.6,91.2,29.8,,Q,Tamandua tetradactyla
Campione and Evans 2012,,,,Mammalia,Glires,Sciuridae,Tamias amoenus,Yellow-pine chipmunk,ROM 80704,53,51,18.25,5.25,24.7,6,,Q,Tamias amoenus
Campione and Evans 2012,,,,Mammalia,Glires,Sciuridae,Tamias minimus,Least chipmunk,ROM 83120,61,135,18.1,5.6,24.05,5.95,,Q,Tamias minimus
Campione and Evans 2012,,,,Mammalia,Glires,Sciuridae,Tamiasciurus hudsonicus,American Red Squirrel,ROM 81437,260,201.2,31.4,10,40.2,9.95,,Q,Tamiasciurus hudsonicus
Campione and Evans 2012,,,,Mammalia,Ungulata,Tapiridae,Tapirus indicus,Malayan Tapir,ROM 94410,250000,296250,257,109,330,115,,Q,Tapirus indicus
Campione and Evans 2012,,,,Mammalia,Ungulata,Tapiridae,Tapirus terrestris,South American Tapir,ROM 66623,139300,207501,235.5,94.5,307.5,106,,Q,Tapirus terrestris
Campione and Evans 2012,,,,Mammalia,Carnivora,Mustelidae,Taxidea taxus,American Badger,ROM 58275,9900,7108,103.1,33,100.8,27.75,,Q,Taxidea taxus
