Higher Clade,Family,Species,Common Name,SP#,Body Mass (g),Humerus Length,Humerus Circumference,Femur Length,Femur Circumference
Reptilia,Scincidae,Tiliqua scincoides,Blue-tongued skink,ROM R7535,243,27.16,7.75,25.97,8.1
Reptilia,Teiidae,Tupinambis teguixin,Common Tegu,ROM R8380,1207,48.52,15,57.07,17.85
Reptilia,Varanidae,Varanus albigularis,Rock monitor,ROM R8243,1358,52.9,16.8,60.8,18.6
Reptilia,Varanidae,Varanus beccarii,Black tree monitor,ROM R7483,133,34.3,7.25,36.6,8.6
Reptilia,Varanidae,Varanus exanthematicus,Savannah monitor,ROM R8034,5063,64.9,25,68.35,27.4
Reptilia,Varanidae,Varanus jobiensis,Peach-throated monitor,ROM R7950,1100,54.2,16.75,65.9,21
Reptilia,Varanidae,Varanus komodoensis,Komodo dragon,ZMUC R 4235,72000,141.6,62,173.4,67
Reptilia,Varanidae,Varanus niloticus,Nile monitor,ROM R7287,8645,78.45,29.75,92.35,34
Reptilia,Varanidae,Varanus salvadorii,Salvadori's monitor,ROM R7926,4839,73.35,25.1,80.5,25.75
Reptilia,Chelydridae,Chelydra serpentina,Snapping turtle,ROM R4101,5372,64.595,29.5,68.2,27.25
Reptilia,Emydidae,Chrysemys picta,Painted turtle,ROM R7204,537,30.86,10,34.525,10
Reptilia,Emydidae,Clemmys guttata,Spotted turtle,ROM R1898,79,21.715,6.65,22.4,7
Reptilia,Emydidae,Cuora galbinifrons,Indochinese box turtle,ROM R5346,555,40.34,12.95,36.69,11.95
Reptilia,Emydidae,Emydoidea blandingii,Blanding's turtle,ROM R3539,1588,52.55,15,56.155,16
Reptilia,Emydidae,Glyptemys insculpta,Wood Turtle,ROM R7991,766,44.37,12.45,46.87,13.15
Reptilia,Emydidae,Pseudemys texana,Texas river cooter,ROM R6766,185,31.17,9.05,35.65,10
Reptilia,Emydidae,Terrapene carolina,Box turtle,ROM R5214,460,33.76,11.85,37.2,11.45
Reptilia,Emydidae,Trachemys scripta,Red-Eared Slider,ROM R2083,1790,43.2,13.75,46.65,14.2
Reptilia,Kinosternidae,Kinosternon baurii,Striped mud turtle,ROM R1877,121,17.08,7.25,17.5,6.4
Reptilia,Kinosternidae,Kinosternon subrubrum,Common mud turtle,ROM R2932,138,18.84,7,19.9,6.8
Reptilia,Kinosternidae,Sternotherus minor,Loggerhead musk turtle,ROM R7993,173,20.64,7.2,21.21,7
Reptilia,Kinosternidae,Sternotherus odoratus,Common Musk Turtle,ROM R7342,193,23.88,8,24.12,7
Reptilia,Platysternidae,Platysternon megacephalum,Big-headed turtle,ROM R5331,629,34.95,12.75,36.7,12
Reptilia,Testudinidae,Geochelone carbonaria,Red-footed tortoise,ROM R8015,1181,52,19,43.72,15.65
Reptilia,Testudinidae,Gopherus polyphemus,Gopher tortoise,ROM R1915,2825,63.6,24,48.01,19.9
Reptilia,Testudinidae,Kinixys homeana,Home's Hingeback tortoise,ROM R7992,1485,51.99,17.9,44.39,15.95
Reptilia,Trionychidae,Amyda cartilaginae,Asiatic Softshell Turtle,ROM R8016,962,39.38,16.35,39.68,14
Reptilia,Trionychidae,Apalone ferox,Florida softshell turtle,ROM R7757,3836,58.56,22.25,61.12,23.6
Reptilia,Trionychidae,Apalone spiniferus,Eastern spiny softshell turtle,ROM R2674,278,28.27,10.3,30.11,11
Reptilia,Trionychidae,Pelodiscus sinensis,Chinese softshell turtle,ROM R6026,1380.25,42.21,15.3,43.55,13.05
Amphibia,Ambystomatidae,Ambystoma tigrinum,Tiger salamader,ROM R7713,59,15.3,6,16.3,4
Amphibia,Leptodactylidae,Ceratophrys cranwelli,Cranwell's horned frog,ROM R8421,129,23.3,8.65,27.8,8.45
Amphibia,Hylidae,Litoria caerulea,Australian Green Tree Frog,ROM R8261,51,18.5,6,30,5
Amphibia,Bufonidae,Rhinella schneideri,Rococo Toad,ROM R7877,538,45.05,11.9,52.2,12.15
Amphibia,Leptodactylidae,Lepidobatrachus laevis,Wide-mouth frog,ROM R8152,166.8,32.4,8.5,35.7,8.5
Amphibia,Hylidae,Osteopilus septentrionalis,Cuban tree frog,ROM R2457,117,32.1,8.5,53.8,7.7
Amphibia,Pipidae,Xenopus laevis,African clawed frog,ROM R7302,109.5,14.8,5.4,30,7.9
Amphibia,Microhylidae,Dyscophus guineti,Tomato frog,ROM R7295,76,19.5,6.6,28,6.2
