Higher Clade,Family,Species,Common Name,SP#,Body Mass (g),Humerus Length,Humerus Circumference,Femur Length,Femur Circumference
Marsupialia,Dasyuridae,Dasyuroides byrnei,Kowari,ROM 101190,133,27.35,7.15,34.6,8.7
Marsupialia,Dasyuridae,Sarcophilus harrisii,Tasmanian Devil,ROM 101196,8490,99.95,27.25,103.75,27.45
Marsupialia,Didelphidae,Chironectes minimus,Water Opossum,ROM 98855,700,45.065,12.25,57.715,14.95
Marsupialia,Didelphidae,Didelphis marsupialis,Oppossum,ROM 96214,1500,63.05,17,80.855,18.8
Marsupialia,Didelphidae,Didelphis virginiana,Virginia Opossum,ROM 75749,7500,75.7,26.5,90.85,26.25
Marsupialia,Didelphidae,Marmosa murina,Linnaeus's Mouse Opossum,ROM 98151,59,21.45,6.2,25.75,6.1
Marsupialia,Didelphidae,Metachirus nudicaudatus,Brown Four-eyed Opossum,ROM 114155,235,35.35,9.25,51.15,11.45
Marsupialia,Didelphidae,Monodelphis brevicaudata,Northern Red-sided Opossum,ROM 98909,77,20.75,6.9,24.55,6.8
Marsupialia,Didelphidae,Philander opossum,Gray Four-eyed Opossum,ROM 90841,600,45.6,10.95,55.95,12.85
Marsupialia,Macropodidae,Bettongia penicillata,Woylie,ROM 111476,1120,33.67,12.95,80.32,21.45
Marsupialia,Macropodidae,Dendrolagus inustus,Grizzled Tree-kangaroo,ROM 86035,18200,140.7,48.25,183.5,56.25
Marsupialia,Macropodidae,Macropus fuliginosus,Western Grey Kangaroo,ROM 93766,22730,117.4,31,214.35,57.5
Marsupialia,Macropodidae,Macropus rufus,Red Kangaroo,ROM 31178,38000,154.7,55.75,251.1,71.5
Marsupialia,Petauridae,Gymnobelideus leadbeateri,Leadbeater's possum,ROM 101194,106.7,24.2,7.75,34.9,8.2
Ungulata,Bovidae,Aepyceros malampus,Impala,AHR1985,60500,,65,,69
Ungulata,Bovidae,Ammotragus lervia,Barbary sheep,ROM 92686,49200,181,65.75,212.5,67.25
Ungulata,Bovidae,Antilope cervicapra,Blackbuck,ROM 74199,22000,137.85,47.4,176.5,47.55
Ungulata,Bovidae,Bison bison,Bison,AHR1985,1179000,,191.5,,167.5
Ungulata,Bovidae,Bison bonasus,European bison,ZMUC M 2270,310000,350,130,418,122
